c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf ? ?
54 -46 63 0
23 -58 -97 0
77 -4 11 0
93 80 -15 0
-60 54 -52 0
-16 81 32 0
23 -32 69 0
-73 32 42 0
27 -29 -94 0
-17 -22 -50 0
-55 -89 -56 0
-98 90 -96 0
4 -81 83 0
-59 90 47 0
48 29 -97 0
-70 -91 -28 0
53 -46 88 0
-23 -35 21 0
-26 88 -86 0
26 -67 22 0
95 52 -14 0
15 -61 -16 0
-40 -3 4 0
-99 -96 89 0
-77 100 -74 0
21 17 8 0
4 -53 -76 0
-88 -94 58 0
-94 52 -23 0
-90 11 96 0
20 -30 -34 0
43 -68 -24 0
73 -74 72 0
-58 59 77 0
-77 -31 22 0
89 14 60 0
94 83 -91 0
-96 74 50 0
-92 62 74 0
79 -18 45 0
-31 -78 -52 0
15 93 -75 0
81 -6 -50 0
45 63 -15 0
-33 10 -73 0
-15 41 39 0
58 46 31 0
-9 -30 46 0
12 5 81 0
-82 55 20 0
-16 46 70 0
93 70 -47 0
64 -11 -27 0
27 80 91 0
18 87 -68 0
67 57 -44 0
-37 3 25 0
80 -90 37 0
-92 26 -85 0
-95 -50 77 0
61 -53 -74 0
-60 26 87 0
11 -89 3 0
53 -86 -28 0
28 62 -10 0
-22 -85 49 0
-80 50 -64 0
-80 -44 -61 0
84 -44 41 0
70 -9 -79 0
35 -80 -24 0
-10 -18 -25 0
56 -95 58 0
21 29 -54 0
-1 19 32 0
-54 -65 -5 0
-39 -4 91 0
60 -35 37 0
-30 92 -51 0
-44 23 79 0
1 56 -75 0
-78 72 -73 0
11 94 -87 0
69 40 -51 0
-80 66 -96 0
68 41 -52 0
-11 -23 -55 0
36 3 -83 0
81 18 -32 0
-4 -18 -19 0
95 -44 99 0
-31 -96 -67 0
-74 14 61 0
-49 16 -28 0
-33 51 -82 0
9 -44 -1 0
51 21 -81 0
75 79 73 0
-45 -83 -25 0
37 95 -22 0
-76 -54 15 0
62 11 25 0
2 8 -75 0
-82 -25 -8 0
90 81 -100 0
84 -79 59 0
-49 13 -63 0
78 -49 38 0
96 17 28 0
38 84 -6 0
-29 88 59 0
-8 -76 60 0
-34 30 50 0
92 -40 -57 0
24 -26 -44 0
-5 -1 -41 0
-11 -96 -43 0
70 -100 -23 0
60 -61 -6 0
76 4 -20 0
72 -37 -91 0
79 -10 75 0
14 -50 40 0
4 29 71 0
3 21 -53 0
13 11 22 0
-83 100 32 0
99 -34 60 0
48 -74 56 0
69 86 -21 0
7 21 -69 0
-50 -7 90 0
91 63 44 0
78 -50 -88 0
-34 -36 -56 0
-13 -64 85 0
-72 41 -16 0
71 -12 43 0
28 -39 -93 0
85 -6 -97 0
-5 -71 17 0
97 -24 -48 0
92 -57 81 0
-78 98 -81 0
31 97 58 0
-80 43 88 0
-3 28 64 0
-20 -32 -5 0
42 43 -72 0
74 -44 81 0
48 49 -60 0
74 -48 -19 0
-86 18 -90 0
65 -59 98 0
